product_id,shop_id,order_status,sku_quantity,payment_amount,supply_amount,supply_cost,delivery_fee,ad_cost,extra_cost,order_date
100039,200002,0,38,224200,207400,129200,4000,0,0,2025-08-01
100040,200003,0,25,172500,159600,100000,4500,0,0,2025-08-01
100041,200004,0,11,218900,202500,127600,3500,0,0,2025-08-01
100042,200005,0,21,207900,192300,126000,4500,0,0,2025-08-01
100043,200006,0,14,222600,205900,133000,3000,0,0,2025-08-01
100044,200001,0,10,179000,165600,107000,4000,0,0,2025-08-01
100045,200002,0,19,169100,156400,100700,3000,0,0,2025-08-01
100046,200003,0,26,179400,165900,109200,3500,0,0,2025-08-01
100047,200004,0,22,173800,160800,99000,2500,0,0,2025-08-01
100048,200005,0,29,171100,158300,101500,4500,0,0,2025-08-01
100049,200006,0,26,179400,165900,104000,5000,0,0,2025-08-01
100050,200001,0,33,194700,180100,115500,2500,0,0,2025-08-01
100001,200001,0,471,4662900,4313200,2731800,4000,0,0,2025-08-02
100002,200002,0,174,2244600,2076300,1357200,5000,0,0,2025-08-02
100003,200003,0,133,1848700,1710000,1117200,3500,0,0,2025-08-02
100004,200004,0,133,1183700,1094900,678300,3000,0,0,2025-08-02
100005,200005,0,106,837400,774600,477000,2000,0,0,2025-08-02
100006,200006,0,52,826800,764800,494000,3000,0,0,2025-08-02
100007,200001,0,39,659100,609700,393900,3500,0,0,2025-08-02
100008,200002,0,83,572700,529700,348600,5000,0,0,2025-08-02
100009,200003,0,43,640700,592600,387000,3500,0,0,2025-08-02
100010,200004,0,60,600000,555000,348000,2000,0,0,2025-08-02
100011,200005,0,40,596000,551300,360000,4000,0,0,2025-08-02
100012,200006,0,42,499800,462300,289800,2500,0,0,2025-08-02
100013,200001,0,43,511700,473300,301000,4500,0,0,2025-08-02
100014,200002,0,79,466100,431100,268600,3500,0,0,2025-08-02
100015,200003,0,68,401200,371100,238000,2000,0,0,2025-08-02
100016,200004,0,48,427200,395200,249600,4000,0,0,2025-08-02
100017,200005,0,36,356400,329700,208800,5000,0,0,2025-08-02
100018,200006,0,43,296700,274400,176300,5000,0,0,2025-08-02
100019,200001,0,46,317400,293600,193200,4500,0,0,2025-08-02
100020,200002,0,58,284200,262900,168200,2000,0,0,2025-08-02
100021,200003,0,39,347100,321100,210600,4000,0,0,2025-08-02
100022,200004,0,42,289800,268100,168000,3500,0,0,2025-08-02
100023,200005,0,33,260700,241100,148500,5000,0,0,2025-08-02
100024,200006,0,31,244900,226500,142600,2500,0,0,2025-08-02
100025,200001,0,24,309600,286400,187200,2500,0,0,2025-08-02
100026,200002,0,24,237600,219800,136800,4000,0,0,2025-08-02
100027,200003,0,25,272500,252100,162500,2500,0,0,2025-08-02
100028,200004,0,42,247800,229200,147000,3000,0,0,2025-08-02
100029,200005,0,36,212400,196500,122400,4000,0,0,2025-08-02
100030,200006,0,33,227700,210600,132000,5000,0,0,2025-08-02
100031,200001,0,35,241500,223400,140000,2500,0,0,2025-08-02
100032,200002,0,20,178000,164600,102000,3000,0,0,2025-08-02
100033,200003,0,32,188800,174600,108800,3500,0,0,2025-08-02
100034,200004,0,32,188800,174600,112000,3000,0,0,2025-08-02
100035,200005,0,32,188800,174600,112000,2000,0,0,2025-08-02
100036,200006,0,24,165600,153200,98400,4000,0,0,2025-08-02
100037,200001,0,42,205800,190400,121800,4500,0,0,2025-08-02
100038,200002,0,26,205400,190000,119600,4500,0,0,2025-08-02
100039,200003,0,30,177000,163700,105000,5000,0,0,2025-08-02
100040,200004,0,25,172500,159600,102500,3000,0,0,2025-08-02
100041,200005,0,8,159200,147300,91200,2500,0,0,2025-08-02
100042,200006,0,18,178200,164800,108000,4500,0,0,2025-08-02
100043,200001,0,9,143100,132400,82800,2500,0,0,2025-08-02
100044,200002,0,10,179000,165600,103000,2000,0,0,2025-08-02
100045,200003,0,15,133500,123500,76500,2000,0,0,2025-08-02
100046,200004,0,26,179400,165900,109200,2500,0,0,2025-08-02
100047,200005,0,21,165900,153500,96600,2500,0,0,2025-08-02
100048,200006,0,30,177000,163700,105000,3000,0,0,2025-08-02
100049,200001,0,20,138000,127600,80000,3000,0,0,2025-08-02
100050,200002,0,23,135700,125500,80500,5000,0,0,2025-08-02
100001,200002,0,426,4217400,3901100,2470800,5000,0,0,2025-08-03
100002,200003,0,187,2412300,2231400,1421200,5000,0,0,2025-08-03
100003,200004,0,136,1890400,1748600,1115200,5000,0,0,2025-08-03
100004,200005,0,166,1477400,1366600,879800,4000,0,0,2025-08-03
100005,200006,0,164,1295600,1198400,754400,4000,0,0,2025-08-03
100006,200001,0,55,874500,808900,522500,3500,0,0,2025-08-03
100007,200002,0,47,794300,734700,479400,2000,0,0,2025-08-03
100008,200003,0,111,765900,708500,444000,3000,0,0,2025-08-03
100009,200004,0,42,625800,578900,369600,5000,0,0,2025-08-03
100010,200005,0,59,590000,545800,354000,3000,0,0,2025-08-03
100011,200006,0,42,625800,578900,369600,5000,0,0,2025-08-03
100012,200001,0,54,642600,594400,372600,3000,0,0,2025-08-03
100013,200002,0,40,476000,440300,272000,4000,0,0,2025-08-03
100014,200003,0,93,548700,507500,325500,2000,0,0,2025-08-03
100015,200004,0,68,401200,371100,231200,2000,0,0,2025-08-03
100016,200005,0,57,507300,469300,290700,2000,0,0,2025-08-03
100017,200006,0,39,386100,357100,230100,4500,0,0,2025-08-03
100018,200001,0,64,441600,408500,268800,4500,0,0,2025-08-03
100019,200002,0,45,310500,287200,180000,4500,0,0,2025-08-03
100020,200003,0,84,411600,380700,243600,4500,0,0,2025-08-03
100021,200004,0,44,391600,362200,233200,2500,0,0,2025-08-03
100022,200005,0,46,317400,293600,184000,2500,0,0,2025-08-03
100023,200006,0,44,347600,321500,206800,3500,0,0,2025-08-03
100024,200001,0,39,308100,285000,175500,3000,0,0,2025-08-03
100025,200002,0,23,296700,274400,179400,3000,0,0,2025-08-03
100026,200003,0,32,316800,293000,185600,4000,0,0,2025-08-03
100027,200004,0,22,239800,221800,138600,3500,0,0,2025-08-03
100028,200005,0,53,312700,289200,180200,4000,0,0,2025-08-03
100029,200006,0,47,277300,256500,159800,3000,0,0,2025-08-03
100030,200001,0,40,276000,255300,168000,2000,0,0,2025-08-03
100031,200002,0,41,282900,261700,168100,4000,0,0,2025-08-03
100032,200003,0,30,267000,247000,159000,4000,0,0,2025-08-03
100033,200004,0,45,265500,245600,153000,5000,0,0,2025-08-03
100034,200005,0,32,188800,174600,115200,3500,0,0,2025-08-03
100035,200006,0,42,247800,229200,147000,4000,0,0,2025-08-03
100036,200001,0,34,234600,217000,132600,3500,0,0,2025-08-03
100037,200002,0,47,230300,213000,136300,4000,0,0,2025-08-03
100038,200003,0,23,181700,168100,103500,2000,0,0,2025-08-03
100039,200004,0,28,165200,152800,95200,2500,0,0,2025-08-03
100040,200005,0,24,165600,153200,96000,5000,0,0,2025-08-03
100041,200006,0,11,218900,202500,127600,2500,0,0,2025-08-03
100042,200001,0,17,168300,155700,102000,2000,0,0,2025-08-03
100043,200002,0,12,190800,176500,114000,5000,0,0,2025-08-03
100044,200003,0,12,214800,198700,129600,3000,0,0,2025-08-03
100045,200004,0,19,169100,156400,98800,2500,0,0,2025-08-03
100046,200005,0,23,158700,146800,94300,2500,0,0,2025-08-03
100047,200006,0,23,181700,168100,108100,4000,0,0,2025-08-03
100048,200001,0,31,182900,169200,108500,4000,0,0,2025-08-03
100049,200002,0,28,193200,178700,117600,2500,0,0,2025-08-03
100050,200003,0,30,177000,163700,108000,3500,0,0,2025-08-03
100001,200003,0,574,5682600,5256400,3386600,2000,0,0,2025-08-04
100002,200004,0,277,3573300,3305300,2105200,3500,0,0,2025-08-04
100003,200005,0,164,2279600,2108600,1377600,2500,0,0,2025-08-04
100004,200006,0,213,1895700,1753500,1128900,3000,0,0,2025-08-04
100005,200001,0,157,1240300,1147300,737900,3000,0,0,2025-08-04
100006,200002,0,84,1335600,1235400,814800,4000,0,0,2025-08-04
100007,200003,0,56,946400,875400,543200,3000,0,0,2025-08-04
100008,200004,0,162,1117800,1034000,631800,4500,0,0,2025-08-04
100009,200005,0,58,864200,799400,493000,2000,0,0,2025-08-04
100010,200006,0,75,750000,693800,427500,3000,0,0,2025-08-04
100011,200001,0,57,849300,785600,507300,3000,0,0,2025-08-04
100012,200002,0,67,797300,737500,482400,4000,0,0,2025-08-04
100013,200003,0,46,547400,506300,331200,2000,0,0,2025-08-04
100014,200004,0,96,566400,523900,336000,2000,0,0,2025-08-04
100015,200005,0,109,643100,594900,381500,5000,0,0,2025-08-04
100016,200006,0,55,489500,452800,291500,3000,0,0,2025-08-04
100017,200001,0,51,504900,467000,306000,4000,0,0,2025-08-04
100018,200002,0,73,503700,465900,292000,3000,0,0,2025-08-04
100019,200003,0,62,427800,395700,260400,3500,0,0,2025-08-04
100020,200004,0,102,499800,462300,306000,4000,0,0,2025-08-04
100021,200005,0,53,471700,436300,286200,4500,0,0,2025-08-04
100022,200006,0,50,345000,319100,205000,4000,0,0,2025-08-04
100023,200001,0,49,387100,358100,220500,2000,0,0,2025-08-04
100024,200002,0,43,339700,314200,202100,2000,0,0,2025-08-04
100025,200003,0,33,425700,393800,257400,2500,0,0,2025-08-04
100026,200004,0,41,405900,375500,233700,4500,0,0,2025-08-04
100027,200005,0,36,392400,363000,237600,4000,0,0,2025-08-04
100028,200006,0,56,330400,305600,190400,4500,0,0,2025-08-04
100029,200001,0,63,371700,343800,220500,4500,0,0,2025-08-04
100030,200002,0,54,372600,344700,221400,3000,0,0,2025-08-04
100031,200003,0,41,282900,261700,168100,4500,0,0,2025-08-04
100032,200004,0,28,249200,230500,151200,4000,0,0,2025-08-04
100033,200005,0,54,318600,294700,189000,3000,0,0,2025-08-04
100034,200006,0,44,259600,240100,149600,5000,0,0,2025-08-04
100035,200001,0,48,283200,262000,163200,2000,0,0,2025-08-04
100036,200002,0,32,220800,204200,131200,5000,0,0,2025-08-04
100037,200003,0,64,313600,290100,179200,4500,0,0,2025-08-04
100038,200004,0,30,237000,219200,144000,3000,0,0,2025-08-04
100039,200005,0,35,206500,191000,122500,3000,0,0,2025-08-04
100040,200006,0,38,262200,242500,148200,3000,0,0,2025-08-04
100041,200001,0,12,238800,220900,136800,2000,0,0,2025-08-04
100042,200002,0,20,198000,183200,120000,2000,0,0,2025-08-04
100043,200003,0,15,238500,220600,141000,2000,0,0,2025-08-04
100044,200004,0,11,196900,182100,118800,5000,0,0,2025-08-04
100045,200005,0,24,213600,197600,127200,2000,0,0,2025-08-04
100046,200006,0,32,220800,204200,131200,5000,0,0,2025-08-04
100047,200001,0,28,221200,204600,131600,2500,0,0,2025-08-04
100048,200002,0,35,206500,191000,126000,4500,0,0,2025-08-04
100049,200003,0,35,241500,223400,140000,3000,0,0,2025-08-04
100050,200004,0,31,182900,169200,111600,3500,0,0,2025-08-04
100001,200004,0,664,5909600,5466400,3386400,4500,0,0,2025-08-05
100002,200005,0,244,2830400,2618100,1659200,5000,0,0,2025-08-05
100003,200006,0,197,2462500,2277800,1418400,4500,0,0,2025-08-05
100004,200001,0,206,1648000,1524400,968200,5000,0,0,2025-08-05
100005,200002,0,179,1270900,1175600,751800,5000,0,0,2025-08-05
100006,200003,0,92,1315600,1216900,772800,4500,0,0,2025-08-05
100007,200004,0,58,881600,815500,516200,3000,0,0,2025-08-05
100008,200005,0,168,1041600,963500,621600,2500,0,0,2025-08-05
100009,200006,0,65,871000,805700,507000,3500,0,0,2025-08-05
100010,200001,0,94,846000,782600,498200,4500,0,0,2025-08-05
100011,200002,0,52,774800,716700,452400,2500,0,0,2025-08-05
100012,200003,0,48,571200,528400,340800,4500,0,0,2025-08-05
100013,200004,0,50,595000,550400,355000,4000,0,0,2025-08-05
100014,200005,0,110,649000,600300,385000,3000,0,0,2025-08-05
100015,200006,0,86,507400,469300,301000,2000,0,0,2025-08-05
100016,200001,0,49,436100,403400,259700,2000,0,0,2025-08-05
100017,200002,0,50,495000,457900,295000,3500,0,0,2025-08-05
100018,200003,0,60,414000,383000,246000,2000,0,0,2025-08-05
100019,200004,0,59,407100,376600,241900,3000,0,0,2025-08-05
100020,200005,0,92,450800,417000,257600,2500,0,0,2025-08-05
100021,200006,0,45,400500,370500,243000,2000,0,0,2025-08-05
100022,200001,0,60,414000,383000,240000,4000,0,0,2025-08-05
100023,200002,0,47,371300,343500,216200,2500,0,0,2025-08-05
100024,200003,0,38,300200,277700,174800,5000,0,0,2025-08-05
100025,200004,0,25,322500,298300,192500,4500,0,0,2025-08-05
100026,200005,0,38,376200,348000,220400,4000,0,0,2025-08-05
100027,200006,0,26,283400,262100,163800,2500,0,0,2025-08-05
100028,200001,0,55,324500,300200,187000,3500,0,0,2025-08-05
100029,200002,0,52,306800,283800,182000,3000,0,0,2025-08-05
100030,200003,0,37,255300,236200,151700,2500,0,0,2025-08-05
100031,200004,0,44,303600,280800,176000,2500,0,0,2025-08-05
100032,200005,0,35,311500,288100,189000,3000,0,0,2025-08-05
100033,200006,0,49,289100,267400,166600,4500,0,0,2025-08-05
100034,200001,0,37,218300,201900,125800,4500,0,0,2025-08-05
100035,200002,0,49,289100,267400,166600,3500,0,0,2025-08-05
100036,200003,0,41,282900,261700,164000,4000,0,0,2025-08-05
100037,200004,0,42,205800,190400,117600,3500,0,0,2025-08-05
100038,200005,0,31,244900,226500,142600,3500,0,0,2025-08-05
100039,200006,0,44,259600,240100,158400,4500,0,0,2025-08-05
100040,200001,0,35,241500,223400,140000,2000,0,0,2025-08-05
100041,200002,0,10,199000,184100,118000,3000,0,0,2025-08-05
100042,200003,0,19,188100,174000,108300,5000,0,0,2025-08-05
100043,200004,0,12,190800,176500,116400,2000,0,0,2025-08-05
100044,200005,0,12,214800,198700,129600,4500,0,0,2025-08-05
100045,200006,0,21,186900,172900,111300,5000,0,0,2025-08-05
100046,200001,0,26,179400,165900,104000,2500,0,0,2025-08-05
100047,200002,0,25,197500,182700,120000,4000,0,0,2025-08-05
100048,200003,0,38,224200,207400,129200,4500,0,0,2025-08-05
100049,200004,0,32,220800,204200,124800,5000,0,0,2025-08-05
100050,200005,0,28,165200,152800,95200,3500,0,0,2025-08-05
100001,200005,0,562,5563800,5146500,3315800,3000,0,0,2025-08-06
100002,200006,0,183,2360700,2183600,1409100,2500,0,0,2025-08-06
100003,200001,0,146,2029400,1877200,1168000,4500,0,0,2025-08-06
100004,200002,0,167,1486300,1374800,885100,2500,0,0,2025-08-06
100005,200003,0,184,1453600,1344600,883200,5000,0,0,2025-08-06
100006,200004,0,64,1017600,941300,588800,4500,0,0,2025-08-06
100007,200005,0,61,1030900,953600,597800,3500,0,0,2025-08-06
100008,200006,0,126,869400,804200,516600,3000,0,0,2025-08-06
100009,200001,0,59,879100,813200,501500,3000,0,0,2025-08-06
100010,200002,0,81,810000,749200,486000,2500,0,0,2025-08-06
100011,200003,0,37,551300,510000,333000,3000,0,0,2025-08-06
100012,200004,0,59,702100,649400,413000,4500,0,0,2025-08-06
100013,200005,0,51,606900,561400,346800,4000,0,0,2025-08-06
100014,200006,0,97,572300,529400,339500,3500,0,0,2025-08-06
100015,200001,0,81,477900,442100,283500,3500,0,0,2025-08-06
100016,200002,0,57,507300,469300,290700,4000,0,0,2025-08-06
100017,200003,0,41,405900,375500,246000,4000,0,0,2025-08-06
100018,200004,0,75,517500,478700,307500,3000,0,0,2025-08-06
100019,200005,0,72,496800,459500,302400,4500,0,0,2025-08-06
100020,200006,0,77,377300,349000,223300,2000,0,0,2025-08-06
100021,200001,0,48,427200,395200,244800,2000,0,0,2025-08-06
100022,200002,0,56,386400,357400,224000,2500,0,0,2025-08-06
100023,200003,0,38,300200,277700,171000,3000,0,0,2025-08-06
100024,200004,0,38,300200,277700,178600,2000,0,0,2025-08-06
100025,200005,0,28,361200,334100,212800,4000,0,0,2025-08-06
100026,200006,0,29,287100,265600,171100,4000,0,0,2025-08-06
100027,200001,0,27,294300,272200,172800,4500,0,0,2025-08-06
100028,200002,0,55,324500,300200,192500,4500,0,0,2025-08-06
100029,200003,0,58,342200,316500,208800,2000,0,0,2025-08-06
100030,200004,0,49,338100,312700,196000,2000,0,0,2025-08-06
100031,200005,0,37,255300,236200,148000,3000,0,0,2025-08-06
100032,200006,0,31,275900,255200,161200,3500,0,0,2025-08-06
100033,200001,0,47,277300,256500,169200,2000,0,0,2025-08-06
100034,200002,0,48,283200,262000,168000,2000,0,0,2025-08-06
100035,200003,0,37,218300,201900,129500,4000,0,0,2025-08-06
100036,200004,0,39,269100,248900,163800,3500,0,0,2025-08-06
100037,200005,0,40,196000,181300,116000,2500,0,0,2025-08-06
100038,200006,0,33,260700,241100,158400,3500,0,0,2025-08-06
100039,200001,0,41,241900,223800,147600,5000,0,0,2025-08-06
100040,200002,0,31,213900,197900,127100,3500,0,0,2025-08-06
100041,200003,0,12,238800,220900,144000,4000,0,0,2025-08-06
100042,200004,0,20,198000,183200,120000,2500,0,0,2025-08-06
100043,200005,0,14,222600,205900,134400,5000,0,0,2025-08-06
100044,200006,0,11,196900,182100,115500,2500,0,0,2025-08-06
100045,200001,0,21,186900,172900,109200,5000,0,0,2025-08-06
100046,200002,0,26,179400,165900,104000,4500,0,0,2025-08-06
100047,200003,0,27,213300,197300,126900,5000,0,0,2025-08-06
100048,200004,0,27,159300,147400,91800,2500,0,0,2025-08-06
100049,200005,0,25,172500,159600,105000,5000,0,0,2025-08-06
100050,200006,0,26,153400,141900,88400,2000,0,0,2025-08-06
100001,200006,0,483,4781700,4423100,2753100,3500,0,0,2025-08-07
100002,200001,0,226,2915400,2696700,1785400,2500,0,0,2025-08-07
100003,200002,0,138,1918200,1774300,1117800,4500,0,0,2025-08-07
100004,200003,0,156,1388400,1284300,826800,2500,0,0,2025-08-07
100005,200004,0,145,1145500,1059600,681500,5000,0,0,2025-08-07
100006,200005,0,79,1256100,1161900,726800,2000,0,0,2025-08-07
100007,200006,0,62,1047800,969200,601400,2500,0,0,2025-08-07
100008,200001,0,140,966000,893600,588000,2500,0,0,2025-08-07
100009,200002,0,62,923800,854500,551800,4500,0,0,2025-08-07
100010,200003,0,60,600000,555000,354000,4000,0,0,2025-08-07
100011,200004,0,49,730100,675300,441000,2000,0,0,2025-08-07
100012,200005,0,57,678300,627400,410400,2000,0,0,2025-08-07
100013,200006,0,48,571200,528400,326400,2500,0,0,2025-08-07
100014,200001,0,82,483800,447500,295200,5000,0,0,2025-08-07
100015,200002,0,99,584100,540300,336600,2000,0,0,2025-08-07
100016,200003,0,52,462800,428100,275600,3000,0,0,2025-08-07
100017,200004,0,54,534600,494500,318600,3500,0,0,2025-08-07
100018,200005,0,54,372600,344700,226800,2500,0,0,2025-08-07
100019,200006,0,72,496800,459500,302400,5000,0,0,2025-08-07
100020,200001,0,73,357700,330900,204400,2000,0,0,2025-08-07
100021,200002,0,40,356000,329300,208000,3000,0,0,2025-08-07
100022,200003,0,60,414000,383000,240000,2000,0,0,2025-08-07
100023,200004,0,38,300200,277700,182400,2500,0,0,2025-08-07
100024,200005,0,44,347600,321500,198000,3000,0,0,2025-08-07
100025,200006,0,26,335400,310200,200200,3500,0,0,2025-08-07
100026,200001,0,33,326700,302200,188100,2000,0,0,2025-08-07
100027,200002,0,26,283400,262100,171600,4000,0,0,2025-08-07
100028,200003,0,54,318600,294700,194400,5000,0,0,2025-08-07
100029,200004,0,50,295000,272900,175000,2500,0,0,2025-08-07
100030,200005,0,43,296700,274400,172000,3000,0,0,2025-08-07
100031,200006,0,39,269100,248900,156000,2500,0,0,2025-08-07
100032,200001,0,34,302600,279900,173400,4000,0,0,2025-08-07
100033,200002,0,52,306800,283800,176800,2000,0,0,2025-08-07
100034,200003,0,44,259600,240100,149600,4000,0,0,2025-08-07
100035,200004,0,48,283200,262000,168000,4500,0,0,2025-08-07
100036,200005,0,42,289800,268100,176400,2000,0,0,2025-08-07
100037,200006,0,57,279300,258400,171000,3000,0,0,2025-08-07
100038,200001,0,26,205400,190000,124800,3500,0,0,2025-08-07
100039,200002,0,41,241900,223800,139400,2500,0,0,2025-08-07
100040,200003,0,36,248400,229800,144000,4000,0,0,2025-08-07
100041,200004,0,10,199000,184100,121000,4500,0,0,2025-08-07
100042,200005,0,18,178200,164800,104400,2500,0,0,2025-08-07
100043,200006,0,13,206700,191200,124800,4500,0,0,2025-08-07
100044,200001,0,10,179000,165600,103000,5000,0,0,2025-08-07
100045,200002,0,22,195800,181100,116600,5000,0,0,2025-08-07
100046,200003,0,28,193200,178700,112000,5000,0,0,2025-08-07
100047,200004,0,24,189600,175400,112800,4000,0,0,2025-08-07
100048,200005,0,33,194700,180100,115500,3500,0,0,2025-08-07
100049,200006,0,27,186300,172300,110700,2500,0,0,2025-08-07
100050,200001,0,34,200600,185600,119000,4500,0,0,2025-08-07
100001,200001,0,441,4365900,4038500,2646000,2500,0,0,2025-08-08
100002,200002,0,223,2876700,2660900,1650200,4500,0,0,2025-08-08
100003,200003,0,124,1723600,1594300,979600,3000,0,0,2025-08-08
100004,200004,0,142,1263800,1169000,766800,3500,0,0,2025-08-08
100005,200005,0,127,1003300,928100,571500,3500,0,0,2025-08-08
100006,200006,0,73,1160700,1073600,671600,3000,0,0,2025-08-08
100007,200001,0,60,1014000,938000,582000,2500,0,0,2025-08-08
100008,200002,0,131,903900,836100,524000,4000,0,0,2025-08-08
100009,200003,0,39,581100,537500,331500,5000,0,0,2025-08-08
100010,200004,0,64,640000,592000,390400,3000,0,0,2025-08-08
100011,200005,0,42,625800,578900,378000,3000,0,0,2025-08-08
100012,200006,0,53,630700,583400,376300,2500,0,0,2025-08-08
100013,200001,0,46,547400,506300,331200,2500,0,0,2025-08-08
100014,200002,0,79,466100,431100,284400,2500,0,0,2025-08-08
100015,200003,0,80,472000,436600,280000,5000,0,0,2025-08-08
100016,200004,0,44,391600,362200,237600,4500,0,0,2025-08-08
100017,200005,0,42,415800,384600,243600,3000,0,0,2025-08-08
100018,200006,0,60,414000,383000,246000,2500,0,0,2025-08-08
100019,200001,0,47,324300,300000,188000,2000,0,0,2025-08-08
100020,200002,0,76,372400,344500,228000,4500,0,0,2025-08-08
100021,200003,0,41,364900,337500,213200,4000,0,0,2025-08-08
100022,200004,0,42,289800,268100,172200,5000,0,0,2025-08-08
100023,200005,0,40,316000,292300,188000,4000,0,0,2025-08-08
100024,200006,0,44,347600,321500,211200,2500,0,0,2025-08-08
100025,200001,0,22,283800,262500,171600,2500,0,0,2025-08-08
100026,200002,0,28,277200,256400,168000,2000,0,0,2025-08-08
100027,200003,0,24,261600,242000,153600,2500,0,0,2025-08-08
100028,200004,0,46,271400,251000,161000,3500,0,0,2025-08-08
100029,200005,0,51,300900,278300,178500,5000,0,0,2025-08-08
100030,200006,0,39,269100,248900,159900,3500,0,0,2025-08-08
100031,200001,0,32,220800,204200,128000,2000,0,0,2025-08-08
100032,200002,0,24,213600,197600,129600,4000,0,0,2025-08-08
100033,200003,0,43,253700,234700,150500,3500,0,0,2025-08-08
100034,200004,0,35,206500,191000,122500,5000,0,0,2025-08-08
100035,200005,0,39,230100,212800,132600,5000,0,0,2025-08-08
100036,200006,0,28,193200,178700,112000,3000,0,0,2025-08-08
100037,200001,0,43,210700,194900,124700,2500,0,0,2025-08-08
100038,200002,0,28,221200,204600,134400,5000,0,0,2025-08-08
100039,200003,0,30,177000,163700,105000,3500,0,0,2025-08-08
100040,200004,0,31,213900,197900,124000,2000,0,0,2025-08-08
100041,200005,0,10,199000,184100,115000,3500,0,0,2025-08-08
100042,200006,0,19,188100,174000,112100,5000,0,0,2025-08-08
100043,200001,0,10,159000,147100,97000,2500,0,0,2025-08-08
100044,200002,0,10,179000,165600,105000,4000,0,0,2025-08-08
100045,200003,0,17,151300,140000,90100,4500,0,0,2025-08-08
100046,200004,0,25,172500,159600,102500,3500,0,0,2025-08-08
100047,200005,0,19,150100,138800,91200,2000,0,0,2025-08-08
100048,200006,0,32,188800,174600,112000,4500,0,0,2025-08-08
100049,200001,0,23,158700,146800,94300,4500,0,0,2025-08-08
100050,200002,0,27,159300,147400,97200,4500,0,0,2025-08-08
100001,200002,0,448,4435200,4102600,2643200,4000,0,0,2025-08-09
100002,200003,0,169,2180100,2016600,1267500,3000,0,0,2025-08-09
100003,200004,0,113,1570700,1452900,915300,4500,0,0,2025-08-09
100004,200005,0,147,1308300,1210200,779100,3500,0,0,2025-08-09
100005,200006,0,151,1192900,1103400,709700,3500,0,0,2025-08-09
100006,200001,0,63,1001700,926600,604800,4000,0,0,2025-08-09
100007,200002,0,53,895700,828500,514100,4000,0,0,2025-08-09
100008,200003,0,94,648600,600000,385400,4000,0,0,2025-08-09
100009,200004,0,35,521500,482400,308000,4000,0,0,2025-08-09
100010,200005,0,47,470000,434800,267900,4500,0,0,2025-08-09
100011,200006,0,35,521500,482400,308000,2000,0,0,2025-08-09
100012,200001,0,38,452200,418300,273600,2000,0,0,2025-08-09
100013,200002,0,32,380800,352200,233600,4000,0,0,2025-08-09
100014,200003,0,83,489700,453000,290500,5000,0,0,2025-08-09
100015,200004,0,77,454300,420200,277200,4000,0,0,2025-08-09
100016,200005,0,48,427200,395200,244800,4500,0,0,2025-08-09
